,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,35473P793,FLFR,312571,86.02761065454206
1,35473P801,FLQL,2512052,9.989618885238079
2,35473P819,FLCH,2246107,45.78803757864985
3,35473P850,FLMB,1497330,31.236309745833786
4,35473P884,FLQM,955795,77.1721639404355
5,356390104,FRHC,4546007,7.449949233574133
6,35655L107,FRLN,758622,2.0433038570295476
7,358029106,FMS,7824996,1.3007998205763085
8,35803L108,FREQ,3163076,8.755591555128978
9,35952H601,FCEL,20520797,5.432153630628143
10,35954B206,HUGE,9641301,26.56922167094546
11,359664109,FLGT,2983962,9.756480507552705
12,361008105,FNKO,4240523,10.51837328218198
13,36117V105,FTFT,15304327,21.393269533808628
14,36118L106,FUTU,19859404,22.42933119938835
15,36162J106,GEO,10073470,7.948097659154985
16,36165L108,GDS,3902746,2.1392510318652502
17,36168Q104,GFL,5734240,1.7357993483227128
18,362393100,GTTN,25518468,42.7192051581247
19,36240A101,GUT,2491824,4.539516834863211
