,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,45257A102,ISVLF,4805502,3.304628180212471
1,45259A209,NACP,299669,28.048600139274722
2,45259A308,SDGA,42195,20.590058020094766
3,45332Y109,NARI,7114344,14.174978439692868
4,453415606,ICD,1733436,23.239856101971164
5,45408X308,IGC,7793371,14.817410489789925
6,45409B107,QAI,2391604,8.942377548223735
7,45409B412,HYLV,187591,12.112061312181407
8,45409B800,MNA,482551,2.104239963879796
9,45409F827,MMIT,4318935,51.442422449291705
10,45409F843,MMIN,6551227,36.1184562720495
11,45667G103,INFN,2391049,1.1300518123573005
12,457637502,INM,1549873,16.300201108378296
13,45773H201,INO,56436521,26.688402031027476
