,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,M4R82T106,FVRR,12456674,34.06574738245861
1,M6240T109,KMDA,686720,1.5045668529234195
2,M6S89X179,MTTCF,202440401,160.75823818626822
3,M85548101,SSYS,1631802,2.7661607249969884
4,M8694L103,SLGL,587567,2.454658129970168
5,M87095119,SPCB,6942896,33933.99804496578
6,M96088105,URGN,980474,4.257930513595166
7,M96883109,VBLT,4028607,6.1989544241155805
8,N72482123,QGEN,7899200,3.310072370203402
9,P73398102,NYMX,4730814,5.720931356355189
10,Q86618107,TGMGF,142020019,26.170697157113228
11,V0195Q103,AFMJF,69198124,5.58750625891348
12,V7780T103,RCL,2891099,1.086203174082816
13,Y1001E117,ALINPRB,110097,1100970000.0
14,Y11082206,CPLP,362867,1.8869639597668315
15,Y1968P121,DAC,1079776,5.065717629647464
16,Y2687W108,GLOP,5619049,11.36340223646146
17,Y62267409,NMM,854895,7.501077918834861
18,Y73760194,SHIP,35832819,22.939507381881523
19,Y8565N300,TNK,692231,2.333329074968137
