,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,88338H100,THTX,7621563,7.744741014759679
1,88338N107,TXMD,28442652,6.417697858525005
2,88339P101,REAL,5080711,5.363147146665063
3,88362L100,THMO,4764046,38.804551166247144
4,88554D205,DDD,5438504,4.18357396757186
5,886364207,SFY,3211369,16.073478639369952
6,886364306,SFYX,1186009,39.279807219083615
7,886364405,SFYF,688104,101.36916073717242
8,886364702,SPSK,461862,23.17282610822535
9,886364801,SPUS,1695038,49.98350139110255
10,88688T100,TLRY,59462120,12.881829646623824
11,887080109,TMBR,55181087,144.9515318997284
12,887432334,TPIF,1265218,42.20540449661965
13,887432342,TPSC,309679,18.98122098532518
14,887432359,TPLC,486194,8.8241694479236
15,88830X819,TMDI,7990272,7.0504220460445355
16,88875G101,TLSA,3928266,4.012287390489999
