,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,143658300,CCL,37787688,3.787207580909633
1,14365C103,CUK,6559411,70.67707063352921
2,14427M107,PRTS,4003244,7.327826077629072
3,146875604,CARV,2605811,73.19845974326432
4,14817C107,SAVA,11303586,27.26930598377166
5,150837607,CVM,7724194,17.203794744639982
6,15116C201,APOP,3556997,90.83790311109226
7,15117K103,CLLS,1519198,3.1914816067416822
8,15135U109,CVE,23542235,1.1652957449524892
9,15189T107,CNP,16718761,2.716993428136151
10,15234Q207,EBR,16452091,1.226780655523918
11,156727109,CRNC,1167224,2.9781573540565143
