,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,18914C100,GLQ,5571686,40.59940989090006
1,18914E106,GLO,11570747,35.38324244066106
2,18914U100,CLDR,6145433,2.0124767320293686
3,189464100,CLVS,19811079,15.97261789340965
4,189763105,CODX,13930941,47.28711796507371
5,18978H102,CNSP,2412252,8.44265050252322
6,19188J300,COCP,9699213,9.70358728011
7,19249J109,CWBR,6780618,19.592416068235032
8,19249M102,COHN,349018,20.742754376852044
9,194693107,CIGI,486217,1.1347890660291344
10,19761L508,DIAL,4099876,6.947828011924122
11,19761L607,MUST,1918088,30.580731419909185
12,19762B202,XCEM,347529,21.65417890778582
