,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,754198109,RAVE,4840721,26.65072229216689
1,754907103,RYN,2014822,1.3663854577810255
2,756158101,UTG,3311141,5.696630965629187
3,75624R108,RECAF,28153768,14.467937893318506
4,75689M101,RRGB,329988,2.0979022312764477
5,75704L104,RDVT,525816,4.034540694409416
6,75704R101,RWBYF,2818169,1.2611475141075705
7,757468103,RDHL,4285997,8.808215362043901
8,758338107,REED,4544795,4.75561453085855
9,75903M309,RHE,3154991,177.7384617551371
10,75915K200,RGLS,19732099,22.18641004199644
11,75943R102,RLAY,8176756,8.721826550258399
12,75955K102,MARK,16180159,15.812771549065353
