,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,13321L108,CCJ,9931819,2.4369644901744745
1,13462K109,CWH,3680572,7.939242481875347
2,13471N201,CANF,5477499,27.397338863853783
3,134748102,CAN,13431611,8.59878679204742
4,135086106,GOOS,3281149,5.427902791982434
5,13645T100,CP,8463315,1.2123121674362445
6,13646R103,DCNNF,7980673,6.0617260757125955
7,136635109,CSIQ,4345733,7.027182637801638
8,13708P201,CVVUF,18571400,23.35224101931022
9,13767G100,CBGL,2681560,2.657770192694385
10,138035100,CGC,12469721,3.026507848258724
