,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,923725105,VET,8647544,5.282909433554335
1,925050106,VRNA,6522594,10.682184350013967
2,92511W108,VRCA,1046333,3.768708238641357
3,925540106,VEXTF,4049665,5.756406397531221
4,92556H206,VIAC,15688636,2.512819295542819
5,925652109,VICI,6898439,1.133430384048336
6,92647N667,VSDA,1111837,14.145422521592742
7,92647N691,VSMV,188102,4.2846069444517205
8,92647N774,CSF,478329,43.42216347821035
9,92647N782,CFO,1407847,10.231938484249751
10,92647N873,CSB,1042157,24.891718229982978
11,92650P104,VSQTF,6577763,6.601027396916597
12,92663R105,VMD,4876402,11.98723283039287
13,92686J106,VKTX,3675116,4.501301043157982
14,92707Y108,VFF,13018212,14.666487610298235
15,92766K106,SPCE,40665286,15.767848678821581
16,927926303,VGZ,6065320,5.013441265058996
17,92823T108,VHC,2333689,3.2734208601505457
