,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,82968B103,SIRI,60713793,1.4957463627308203
1,83192H106,SDC,24975574,20.34075201130801
2,832154207,SMSI,878182,1.5975487111809035
3,83304A106,SNAP,106308058,7.949610028798035
4,83356Q108,SY,3198776,3.372315596666552
5,83409V104,SOGO,2600279,2.2826815895419172
6,83417L106,WNDW,676266,1.2326343473121788
7,83417M104,SEDG,681407,1.2696997558005247
8,83417R103,SIRC,24247556,5.768345305315355
9,834223307,SNGX,5445027,13.419136683321428
10,83587F202,SRNE,40821746,13.632335390103833
