,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,000899104,ADMA,17297195,12.597919644212016
1,00162Q452,AMLP,13691470,8.997441511458353
2,00162Q460,ACES,3110311,21.929189337782844
3,00162Q478,DTEC,1464338,29.30939271305302
4,00162Q718,IDOG,976450,14.880596339383967
5,00162Q783,RIGS,912437,16.22066102024247
6,00164V103,AMCX,10513662,32.7584712924025
7,00165C104,AMC,282751345,53.886351106341465
8,00211Y506,ABIO,4140983,27.98884551046869
9,00214Q104,ARKK,35895762,19.577283313566397
10,00214Q302,ARKG,10519853,10.557322309327704
11,00214Q401,ARKW,7558792,20.121227944568126
12,00214Q609,IZRL,2693534,29.994242870680623
13,00214Q708,ARKF,6345557,9.403501909417592
