,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,30727R109,FUNFF,31937150,14.963138434509716
1,30729Q844,EJMLL,168,inf
2,30744W107,FTCH,16349804,5.018334174234108
3,31188V100,FSLY,10028586,8.33961172328214
4,31189V109,FTHM,345848,2.2314336197082185
5,31447M107,FDVXF,12771259,16.41734705705386
6,316092204,FDIS,5858528,29.827221357501966
7,316092352,FBCG,4688891,32.699247934683115
8,316092402,FENY,9814164,14.874158221812733
9,316092501,FNCL,5209292,15.374405101572666
10,316092527,FSMD,1463354,88.09775943871884
11,316092600,FHLC,4116076,9.041594211869812
