,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,446150104,HBAN,38226014,2.5548662267093194
1,44852D108,HUYA,10234785,11.748248131243189
2,44916T107,HYRE,790481,3.5534727793621568
3,44967K104,IMAC,3953006,15.154810195778918
4,44974L103,IMV,8785143,10.468765454136829
5,45031U101,STAR,3631358,4.860460252656108
6,45074T102,ITHUF,6832571,3.803662191923334
7,450913108,IAG,9066224,1.8403245612503962
8,451033203,IBIO,45090677,20.22553560273952
9,45166V106,IDEX,94203734,19.515135312066693
10,45245S108,IWSY,6460229,1.781390190145384
