,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,03062D100,USAS,12591712,8.594875828336281
1,03209T109,AMPE,17267117,8.2981789669448
2,032108409,DIVO,3111512,16.034184140673595
3,032108607,BLOK,8182170,30.485246334078127
4,032108805,BATT,2967336,24.730050434589547
5,032108847,YYY,3135836,11.795645847454086
6,032108854,CNBS,9343473,154.9932916499953
7,032108888,SWAN,1579692,6.358542463501089
8,03212B103,AMPY,2891075,7.57919860456181
9,032797300,AVXL,3173557,4.1236351594244605
10,03528H109,ANIX,2856767,9.412690488262271
11,03615A108,ANVS,1030398,12.342004015231577
12,03674X106,AR,7895332,2.4842692897601277
