,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,46267X108,IQ,12346044,3.160776234926568
1,462726100,IRBT,1351916,4.766268236647934
2,464286103,EWA,10144678,17.456431957245613
3,464286178,GHYG,1432154,35.73231390755707
4,464286251,CEMB,1625108,16.32990773059714
5,464286285,EMHY,1052894,9.565009000916444
6,464286301,EWK,291879,15.437378915751543
7,464286392,URTH,3683181,30.190307625182182
8,464286400,EWZ,51530766,33.26355535411956
9,464286426,EEMA,6355360,62.98061496120594
10,464286475,EEMS,903040,13.862466172398765
11,464286509,EWC,12989466,12.532566111931647
12,464286525,ACWV,884027,1.749343373149468
13,464286533,EEMV,787188,1.3058340701847742
14,464286608,EZU,22125113,13.417715016951112
15,464286624,THD,3118532,62.92794244387141
16,464286640,ECH,2939778,16.679759943107513
17,464286665,EPP,9796647,20.193296614577065
18,464286707,EWQ,6512630,35.04022025856234
19,464286715,TUR,9465907,74.76045971579215
20,464286749,EWL,2908804,8.313454768443394
21,464286756,EWD,4529540,35.37817841363602
22,464286764,EWP,12271567,44.92854125513363
23,464286772,EWY,5065955,6.981217546730957
24,464286780,EZA,2428968,42.76748916668853
25,464286806,EWG,26859771,31.110691382171197
26,464286814,EWN,2476293,37.684924952564614
27,464286822,EWW,3129280,14.84813811091549
28,464286871,EWH,24853502,60.52272921921023
29,464287150,ITOT,6516429,1.527484160327675
30,464287176,TIP,7600610,2.8310718739651937
31,464287184,FXI,61288384,46.615036927323466
32,464287192,IYT,2707047,42.79384411676273
33,464287226,AGG,11426265,1.4228764257993816
34,464287234,EEM,91134269,15.43265675358501
35,464287242,LQD,27244362,8.806757039697155
36,464287291,IXN,8401983,8.084616760822366
37,464287325,IXJ,3385525,8.372731829970622
38,464287333,IXG,14522731,36.080822639112
39,464287341,IXC,10534455,19.52728874490983
40,464287374,IGE,466096,3.1591977534461204
41,464287390,ILF,14240496,28.46236053879131
42,464287432,TLT,32304454,26.684131046218912
43,464287440,IEF,9645963,7.758313375131011
44,464287457,SHY,6747701,3.0019957616508166
45,464287465,EFA,34412028,4.5682929867623665
46,464287473,IWS,1417264,1.1513927368125807
47,464287481,IWP,6585623,4.662737480102225
48,464287515,IGV,13564841,99.97331311389604
49,464287523,SOXX,3025859,18.638349099980182
50,464287549,IGM,626698,6.646708447625372
51,464287556,IBB,18699098,27.529812986701252
52,464287564,ICF,2923732,7.557815870179771
53,464287572,IOO,1313944,2.660410399764756
54,464287580,IYC,2590376,14.6774972006313
55,464287598,IWD,5226658,1.4708580664085245
56,464287614,IWF,3743481,1.4014253640844643
