,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,72201R718,LDUR,484647,4.007782580604561
1,72201R775,BOND,624163,1.5442787439425156
2,72201R783,HYS,4045442,19.71596708704606
3,72201R817,CORP,230380,3.077357511922122
4,72201R866,MUNI,627710,4.958599082598739
5,72201R874,SMMU,898939,8.173533992206702
6,72201R882,ZROZ,500929,16.975677962684138
7,72201T342,RAFE,195231,28.50166646958091
8,72352L106,PINS,25421441,4.540160311045717
9,72369J102,PHD,330997,inf
10,727493108,POLY,944679,2.159666576829063
11,72765Q882,PLG,8296039,10.83269430182458
12,72919P202,PLUG,20145259,3.445552754130369
13,72940R300,PSTI,1389451,4.167978173722837
14,72941H400,PSTV,6433499,51.42594203571623
15,72941N100,PLPRF,4793197,9.864087190748727
16,73102V105,POLA,9304978,70.92424533337561
17,731094108,PTE,14558772,17.341586433028162
