,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,381430107,GSIE,13824981,15.418690630501072
1,381430206,GEM,4119263,10.922241258840645
2,381430230,GSST,972383,14.818183771549718
3,381430362,GTIP,771112,30.595518149712163
4,381430396,JUST,1406534,32.987603152661485
5,381430438,GSEW,5403837,42.21417857979846
6,381430453,GHYB,591681,13.50788137247404
7,381430479,GIGB,779824,5.317132510550924
8,381430503,GSLC,2278958,1.4549425545661396
9,381430602,GSSC,3978555,59.22598065018614
10,38145G308,GSPRJ,206123,2061230000.0
11,38148B108,GSPRK,326874,3268740000.0
12,38149E101,GLDG,5517425,3.5573113865137604
13,38268T103,GPRO,3653053,2.8013523318757287
14,38500T101,GTE,40195822,10.742097907445775
15,38747R108,COMB,450041,5.789395822238002
16,38747R306,HIPS,1254449,27.912428177367833
17,38748G101,BAR,15211107,24.354064263825013
