,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,81369Y209,XLV,30364766,12.02226681130293
1,81369Y308,XLP,23827599,13.932468443901389
2,81369Y407,XLY,5360455,4.651697363556687
3,81369Y506,XLE,20689419,4.3071018551356435
4,81369Y605,XLF,48058968,4.362038826056114
5,81369Y704,XLI,30365568,16.573368235599037
6,81369Y803,XLK,9480200,3.2198321171477917
7,81369Y852,XLC,6570746,3.3256051905416415
8,81369Y860,XLRE,3119609,3.1817188889913557
9,81369Y886,XLU,28783258,15.133527405075059
10,81642T209,SLS,2818827,17.13838732165468
11,81727U105,SENS,137773955,30.431216266760234
12,81734P206,SQBG,3437456,199.82862477778772
13,81750R102,MCRB,1441029,1.5245358635506712
14,81752R100,SRG,1220926,2.7700824488668165
15,819047101,SHAK,1272399,3.2081710294364294
16,82452J109,FOUR,2343646,4.728174920962086
