,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,01643A207,WTER,7661864,7.862723321545846
1,01881G106,AB,2087958,2.072952415700845
2,019170109,AESE,10592010,26.384008974141526
3,019818103,ALVR,889836,1.3317345383052823
4,020002127,ALLPRG,135586,1355860000.0
5,020002838,ALLPRH,168038,1680380000.0
6,020283305,AAU,9035225,6.51487292225795
7,02072L201,IVAL,1323609,26.843702207289326
8,02072L409,QMOM,882967,50.28056808345861
9,02072L706,WIZ,480994,21.123772357552195
10,020772109,APT,2850767,21.363567112525505
11,02128L106,ALTG,341831,1.0372797550760953
12,02156B103,AYX,1503406,2.498806988141651
