,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,46435G326,IDEV,5464848,5.855322600926711
1,46435G334,EWU,34703409,33.18443147074444
2,46435G342,REM,1502567,3.577670805626967
3,46435G425,ESGU,21938524,9.907649884173408
4,46435G433,SMMV,960532,4.113377435435509
5,46435G441,HYXF,721575,30.619532340031164
6,46435G516,ESGD,14409017,16.16672946427792
7,46435G524,IGRO,1380130,37.61312170950252
8,46435G532,SDG,672084,11.436091469129476
9,46435G755,IBMK,776804,5.3203701802457894
10,46435G839,HSCZ,1084979,37.5663266242384
11,46435G847,HAWX,774074,19.441231059797417
12,46435GAA0,IBDR,1589001,4.764405684241236
13,46435U135,IHAK,5375646,36.06793859700033
14,46435U150,IBHC,1339507,40.36445644172075
15,46435U168,IBHE,453976,27.33828459454398
16,46435U176,IBHB,880984,30.025534096129807
17,46435U184,IBHD,827332,47.61631243104304
18,46435U192,IDNA,1453207,20.773371216582937
19,46435U259,IBMO,1389688,29.82619443704584
20,46435U283,IBMP,594513,25.9265881486902
21,46435U325,IBMQ,266881,9.903165453637344
22,46435U366,IDRV,3969494,45.542940477885516
23,46435U432,IBMN,946597,14.585667725540807
24,46435U515,IBDT,568215,5.4050627035406125
25,46435U556,IRBO,2328689,22.565231336623444
26,46435U663,ESML,9494544,31.422771281312045
27,46435U697,IBMM,1037668,11.139438575164222
28,46435U713,IFRA,3370310,17.412723779418336
29,46435U853,USHY,14696548,7.394313398370107
30,46435UAA9,IBDS,793745,3.952334077729544
31,46436E205,IBDU,1075769,19.57217251007519
32,46436E601,LDEM,936595,6.425330618846475
33,46436E619,EUSB,2309249,24.00818373501899
34,46436E668,EAOA,112439,18.143370043164307
35,46436E676,EAOR,119489,47.691251541626926
36,46436E726,IBDV,863062,20.95153939055549
37,46436E759,DMXF,740534,19.512774813154984
38,46436E767,USXF,8905529,74.97917251990071
39,46436E825,IBTJ,63713,8.73508346677781
40,46436E841,IBTH,823628,88.59520702885916
41,46436E866,IBTF,114790,14.051886336287996
42,46436E882,IBTD,291246,11.797573939905067
43,46500E107,ISENF,1142332,1.1475403298195488
