,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,248356107,DNN,104919034,12.71505280914114
1,25179M103,DVN,27101450,3.878162606550215
2,253393102,DKS,2209691,3.267095126023344
3,25381D107,HSSHF,10235482,13.225530757808675
4,25382P208,DGLY,14259524,26.65697013493401
5,25400W102,APPS,2366755,2.3687432046087884
6,25401G106,DMS,3849222,10.496107011469574
7,254067101,DDS,3927417,23.510739052578906
8,25459W102,TECL,1763416,4.0521916817720545
9,25459W458,SOXL,6135527,6.449306936171493
10,25459W540,TMF,17804389,136.38323157158402
11,25459W755,DRN,1145941,17.752658039711303
12,25459W771,YINN,6200483,13.52370802704339
13,25459W847,TNA,15321255,81.86170651006928
14,25459W862,SPXL,6179776,22.540089531167744
