,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,21870U304,CORRPRA,198615,1986150000.0
1,21870U502,CORR,849646,5.4585137829326476
2,21924B302,CLM,4040954,5.366587305521912
3,22053A107,CRTX,451068,1.4719933960210085
4,221013105,KOR,1916533,1.506811393546571
5,221015100,CRVS,1854015,4.182619070801918
6,224633206,CRDA,194488,1944880000.0
7,224916106,CIK,2757619,5.206879907095522
8,22530J200,CREX,2625900,21.03171962000178
9,225310101,CACC,363421,2.318679115778089
10,22544F103,DHY,7664734,7.0973568174084605
11,22576C101,CPG,10663917,1.7649472199878848
12,22587M106,CRLBF,3526059,1.5558879385300584
13,226344208,CEQP,1916879,2.979637377469445
14,22717L101,CRON,13624573,3.6385251932116094
