,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,477143101,JBLU,6369389,1.9641408576671122
1,47759T100,JKS,7369771,23.968391311594704
2,47804J107,JHML,2296036,16.98612308768549
3,47804J206,JHMM,2604231,5.626516083570551
4,47804J826,JHCS,66982,12.260175935043874
5,48138M105,JMIA,13919284,13.462728024232687
6,48213Y107,JUSHF,7208513,4.093290002211287
7,48253L205,KLXE,740185,8.052053304324177
8,48283N106,KDMN,4277448,2.4649558967495535
9,483119103,KALA,13152954,19.375041438914366
10,483379103,KLR,6307724,15.077873765185116
11,483709101,KNDI,22783850,29.197749764435887
