,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,464287622,IWB,2254234,1.8009086454494407
1,464287630,IWN,3484981,3.4222406178614655
2,464287648,IWO,7924486,19.050446377905033
3,464287655,IWM,89641968,28.153372373808367
4,464287663,IUSV,3081955,2.0109434110760924
5,464287671,IUSG,1598153,1.2963730524640373
6,464287697,IDU,741720,7.090328754106917
7,464287705,IJJ,8163739,9.748097478073184
8,464287713,IYZ,4314369,31.984867128848254
9,464287721,IYW,2809714,3.3002914688918397
10,464287739,IYR,12123336,16.268720957018193
11,464287754,IYJ,2872462,18.94472183504202
12,464287762,IYH,736353,6.7583284459900375
13,464287770,IYG,1294052,9.45788887061704
14,464287788,IYF,2739486,9.905927021782194
15,464287796,IYE,11790491,14.196143498275097
16,464287804,IJR,8533968,1.3481684764785227
17,464287812,IYK,859772,22.20424177327744
18,464287838,IYM,2553436,32.345291954136556
19,464287846,IYY,527697,3.348779988790376
20,464287861,IEV,5387925,13.605299858240802
21,464287879,IJS,1675261,1.8460496290475648
22,464287887,IJT,1549090,3.2111803445224267
23,464288117,IGOV,5544063,24.205291546673045
24,464288125,ISHG,147636,19.106954736877526
25,464288158,SUB,5470648,9.53484762242488
26,464288182,AAXJ,13930859,22.622368056678642
27,464288224,ICLN,28644936,10.413653338132482
28,464288240,ACWX,9051428,11.141624772868267
29,464288257,ACWI,31387607,18.64800807157303
30,464288273,SCZ,4703089,2.3492806509399315
31,464288281,EMB,8432909,4.536311746496394
32,464288307,IMCG,1532084,8.302271066860289
33,464288323,NYF,342204,3.5306629645006407
34,464288372,IGF,1581777,2.3253547963359886
35,464288414,MUB,13711775,6.465153624580804
36,464288430,AIA,8954518,28.039573530044475
37,464288448,IDV,4609125,3.1820904901790126
38,464288513,HYG,101261725,45.126212738509096
39,464288521,USRT,3687623,9.23441317480806
40,464288562,REZ,2421244,18.521151341110617
41,464288570,DSI,4390283,10.423903571003908
42,464288612,GVI,594014,2.68438766651454
43,464288620,USIG,4614425,4.105441844717059
44,464288646,IGSB,10893651,2.3589860160809915
45,464288653,TLH,579953,5.436509268218423
46,464288661,IEI,3706982,4.177685313531226
47,464288679,SHV,5601142,4.27415683653322
48,464288687,PFF,20635095,3.9459826735805934
49,464288745,RXI,412980,16.28858619662814
50,464288752,ITB,15581664,43.47616966518358
51,464288760,ITA,2160746,8.591310361050015
52,464288778,IAT,1809168,8.525727563690673
53,464288802,SUSA,9578583,24.469839845730345
54,464288869,IWC,2650294,30.100681858139527
55,464288877,EFV,21226109,7.077050631322787
56,464288885,EFG,8354318,7.25803417901822
57,464289123,ENZL,318895,13.359555730203962
58,464289180,EUFN,26810682,32.95981425545655
59,464289420,IWX,1212625,6.7209616352739125
60,464289438,IWY,1622087,5.813829792953458
61,464289446,IWL,964833,10.902549479869677
62,464289511,IGLB,710977,1.8745128350015718
63,464289867,AOR,924305,2.573971984598246
64,464289883,AOK,889689,3.511397778165877
65,46428Q109,SLV,15248861,2.5574549208318937
66,46428R107,GSG,8117048,10.045969724222868
