,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,33738D705,ECLN,616733,69.70774497847393
1,33738G104,FEN,459518,2.272277173132876
2,33738R506,RDVY,25509047,20.519222157771814
3,33738R704,AIRR,2537856,45.86042784894258
4,33738R720,ROBT,1467343,28.938970991666658
5,33738R738,RNDV,110804,16.378428555380147
6,33738R795,FTXR,9054124,25.685584215775016
7,33738R811,FTXL,582003,49.45497835718547
8,33739E108,FPE,6270186,1.6850238115422078
9,33739N108,FMB,1960828,4.670089381109578
10,33739P301,FMHI,1020613,17.625100614280296
11,33739P830,FSMB,2470312,32.60608938826955
12,33739P855,FPEI,3310788,14.409538428273509
13,33739P863,FCAL,579860,27.299733998728843
14,33739Q200,LMBS,2715787,1.9781996374133113
15,33739Q408,FTSM,1925540,2.591472049767934
16,33740F409,FCEF,357510,22.691267755817055
17,33740F508,MCEF,386730,41.04272484722933
18,33740F755,BUFR,10502938,62.688695400139835
19,33740F789,MMLG,1737058,27.36954522063655
20,33740F805,FIXD,3364435,3.3843825167096617
21,33740F862,FAUG,1807549,33.45212912634476
22,33740F870,LDSF,2304632,24.436544330834366
23,33740F888,UCON,2444342,9.98983868218297
24,33740J104,FUMB,1926615,21.825840978246834
