,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,07160F107,BXRX,7003017,7.9119918842570245
1,07317Q105,BTEGF,7509572,1.2690621291710789
2,07373V105,BEAM,3322497,4.941497745001799
3,07987C204,BLU,4677705,5.9046545421661465
4,08205P100,BNTC,2494836,30.156174529061342
5,084670702,BRKB,1729738,17297380000.0
6,08653C106,BEST,18052546,6.952346311637269
7,08783B101,BVNNF,7357267,3.989203504366138
8,088606108,BHP,18382235,1.1878532542420317
9,08862E109,BYND,6029733,9.15549372396519
10,08862L103,XAIR,3597615,14.619473467082916
11,089302103,BIG,702577,2.1154755019555993
12,08975P108,BIGC,13249232,18.08137617702423
13,089804108,BBKCF,13776688,6.738790593163131
14,090040106,BILI,4277804,1.4100439786431902
15,090043100,BILL,4265137,4.3232071397099405
16,09058V103,BCRX,11002225,6.1020943476971246
