,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,674870506,OPTT,11325990,20.817340687329793
1,67575Y109,OVTZ,2005479,2.9075316528837396
2,67577C105,OCGN,67339401,32.69189300886194
3,676118201,OMEX,521626,3.8661251890627018
4,679295105,OKTA,1719251,1.1496680111115407
5,682143102,OMER,2347300,3.755332286272949
6,68217M107,OMQS,975337,12.940321416739629
7,682189105,ON,5829269,1.311452880393455
8,682310875,ONCY,3052372,5.3631760399968265
9,68234L306,ONCS,1219628,3.08925534241973
10,68235C107,OCX,1489779,1.6244623445073052
11,683373104,OTRK,1815057,9.386019985544431
12,683715106,OTEX,2798819,1.0247319320672073
13,68373L307,OPGN,8395123,20.985880471525704
14,68375N103,OPK,13527829,1.8976635548373815
15,68386M102,OPTI,80477387,3.711873166400574
16,684023302,OGEN,15428159,12.831037223978983
