,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,003013109,FCO,541636,6.070795384977842
1,003057106,ACP,4129085,23.64491621574371
2,003260106,PPLT,954120,7.045896469807368
3,003261104,BCI,1310498,4.675690841065837
4,003261203,BCD,298807,18.9981809731444
5,003263100,GLTR,4613084,41.1364841421875
6,003264108,SIVR,12129564,27.40260154243109
7,00326W106,ASGI,1820403,20.249462645954345
8,00430H102,AXDX,1393706,2.1761454513931113
9,00444T100,ACRX,5748557,4.618739694260541
10,00507W206,ATNM,1677651,7.706693167036256
11,00547W208,ADMP,27251859,17.949553629004953
12,00548F105,PEO,716937,2.933749381280494
