,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,74347X831,TQQQ,10464513,8.661778095246696
1,74347X849,TBF,56776713,110.47114409551642
2,74347X864,UPRO,5128396,20.133784319356522
3,74347Y870,BOIL,5046825,279.13824210371445
4,74347Y888,UCO,1794821,13.851924444146713
5,74348A145,PAWZ,2121038,40.21647871503732
6,74348A210,RWM,8347301,63.4723708581152
7,74348A608,TBX,2488054,56.47658667276818
8,74348A814,RINF,832266,65.50794541594877
9,74365A309,PLX,4506513,9.702022083732139
10,743713109,PRLB,357710,1.243441870456932
11,74460W594,PSAPRJ,107819,1078190000.0
12,74460W644,PSAPRH,196795,1967950000.0
