,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,92189F106,GDX,17276850,4.016486666661924
1,92189F114,ESPO,1100962,11.217186178197215
2,92189F122,GOAT,82299,15.990479428765724
3,92189F171,GRNB,1901655,50.34726588841053
4,92189F387,SHYD,2763329,16.24115556022612
5,92189F403,RSX,10192702,19.998010146682326
6,92189F411,BIZD,3119141,10.360125463784811
7,92189F437,ANGL,11590865,7.252556726529061
8,92189F445,IHY,633771,13.99989087626141
9,92189F460,XMPT,848136,11.866273985827114
10,92189F486,FLTR,4168011,14.422862113926469
11,92189F528,SMB,3545466,18.76444063383189
12,92189F536,MLN,694921,6.064833546339374
13,92189F643,MOAT,5645558,6.20024949446603
14,92189F676,SMH,11935823,50.71980182949242
15,92189F684,RTH,512703,36.429995061693305
16,92189F692,PPH,4539493,98.7022895618064
17,92189F726,BBH,138348,4.701661900933005
18,92189F791,GDXJ,12287719,10.978167536653629
19,92189H102,DURA,1067602,60.922382314053266
20,92189H201,ITM,3701449,9.553759343177544
21,92189H300,EMLC,5050812,4.171892670906941
22,92189H409,HYD,4815333,7.601490521581049
23,92189H607,OIH,1758993,12.897836410495112
24,92189H805,REMX,2384078,24.846680465989248
25,921909768,VXUS,32302177,4.138776476468866
26,921910709,EDV,3563976,38.25549475614963
27,921910725,VSGX,4797527,11.660202207548826
28,921910733,ESGV,16442227,25.935266802179534
29,921910816,MGK,1219472,2.299195755098864
30,921910840,MGV,4702417,10.385443117300158
31,921910873,MGC,1062299,3.9507963058178808
32,921932505,VOOG,496799,2.0063900906746372
33,921932703,VOOV,911609,5.595942674688093
34,921932778,VIOV,772667,10.091680571019953
35,921932794,VIOG,440552,18.103428438053722
36,921932828,VIOO,726587,8.120997199401767
37,921932885,IVOO,912174,10.868030328411644
38,921935508,VFMO,138845,11.912350768518003
39,921935706,VFQY,237172,25.204813284887333
40,921935805,VFVA,1465506,36.51785318263437
41,921937793,BLV,4367335,7.422037914204662
42,921937819,BIV,4940747,2.948322755557021
43,921937827,BSV,7016308,1.360745633375965
44,921943858,VEA,49129385,2.3449732903721467
