,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,45845P108,ICPT,1942289,5.784547424578208
1,459506101,IFF,16550787,6.517817299776217
2,459506309,IFFT,191408,1.1274908539514457
3,46050R102,THM,2004176,1.001545803163999
4,46090A200,PSMB,1686588,128.68754706788533
5,46090A408,PSMG,1346311,126.4919739370223
6,46090A507,PSMM,967728,83.94565246620628
7,46090A705,PHDG,1716967,24.8108945763816
8,46090A804,GTO,776157,4.635169773244511
9,46090A887,GSY,745679,1.2414134125303145
10,46090E103,QQQ,100945645,19.74136696197499
11,46090F100,PDBC,6033024,2.068622288840914
12,46121E205,INTZ,4376626,24.266667612946126
13,46122W204,INUV,9159622,7.400011459180579
14,46124U107,IVA,1296547,3.291144246600497
15,46131B100,IVR,17186918,5.757125760059707
16,46131B407,IVRPRB,153746,1537460000.0
17,46137R109,PIN,2928908,66.65935340444494
18,46137V134,PBW,9759063,42.05259371346438
