,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,46138E651,PIO,398549,5.157317003104104
1,46138E669,PGHY,1259403,10.955853773366604
2,46138E719,PHB,4572632,10.755706716798457
3,46138E727,PXH,7065249,10.671918203271806
4,46138E735,PDN,1123889,9.807683228714986
5,46138E784,PCY,3475429,3.3868521147466915
6,46138E800,CQQQ,5805616,26.04154219188297
7,46138E842,DWAS,1595066,23.424998388221194
8,46138E875,PIZ,2155464,24.979018664523224
9,46138G102,XSLV,3486373,14.44638635332992
10,46138G508,BKLN,20477176,6.726778215206047
11,46138G664,RWJ,2042402,36.5304544463497
12,46138G706,TAN,12757694,33.460134144837546
13,46138G805,BAB,1614357,2.225065314449564
14,46138G870,VRP,910424,1.1723453696102508
15,46138J478,BSMT,441048,70.96040325577879
16,46138J510,BSMQ,686005,66.71260012895081
17,46138J528,BSMP,874173,52.834550584207896
18,46138J536,BSMO,859034,59.548984553230454
19,46138J544,BSMN,537248,36.8452275222701
20,46138J551,BSMM,942743,43.20917659266701
21,46138J569,BSML,706148,43.70839365705015
22,46138J577,BSCT,742744,12.867000480903156
23,46138J585,BSJR,478752,25.856738872602286
24,46138J593,OMFS,2500946,73.66370100786843
25,46138J619,OMFL,438624,1.2067096649239204
26,46138J635,BSJQ,318915,6.233539753023487
27,46138J643,BSCS,404057,3.9442690924013832
28,46138J668,BSCE,1403485,114.25021022751787
29,46138J775,DEF,1195341,27.5538535691885
30,46138J783,BSCR,625480,3.8164350159926244
31,46138J791,BSCQ,981536,3.528509744441013
32,46138J825,BSCP,1371367,2.7962337816984806
33,46138J833,BSJO,1254451,8.240053531895835
34,46138J858,BSJN,1535047,5.568390069923779
35,46138K103,FXE,5822184,214.33519168072945
36,46139W502,IIGD,253806,6.6786008530408365
37,46139W601,IIGV,476672,21.745231460952997
38,46140H106,DBA,1616979,3.4311584082859494
39,46140H403,DBO,4510111,12.966623811735925
40,46140H700,DBB,1803989,8.48618476917178
41,46141D203,UUP,18950290,94.76927610083456
42,46143U849,KLDW,243690,5.6820685723479185
43,46185L103,NVTA,10673480,4.838489152446022
44,462044207,IO,5617238,18.548543066574627
