,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,697900108,PAAS,2197857,1.0383519260420824
1,69946T207,TEUM,7284218,6.335272210124289
2,700658107,PRK,235947,1.3942236158660943
3,70336F203,PNBK,60768,1.5367780515481202
4,70339L108,PTOTF,3466465,2.277591921670126
5,703481101,PTEN,6383844,3.3302888407557187
6,70387R106,PAVM,5766754,6.69953377178988
7,70465T107,PDSB,3240731,10.919141175493081
8,70614W100,PTON,6903394,2.45600012747845
9,709102107,PEI,24660542,29.687754766140273
10,709102602,PEIPRC,928726,9287260000.0
