Date,GME_QUANTITY_FAILS
2021-03-30,17841
2021-03-31,14031
2021-04-01,25667
2021-04-05,8090
2021-04-06,15799
2021-04-07,85817
2021-04-08,8161
2021-04-09,71528
2021-04-12,1186
2021-04-13,28097
2021-04-14,6015
2021-08-13,1227
2021-04-15,36460
2021-04-16,67097
2021-04-19,2572
2021-04-20,88599
2021-04-22,15959
2021-04-23,23180
2021-04-26,3862
2021-04-27,49719
2021-04-28,50238
2021-04-29,9249
2021-04-30,14143
2021-05-03,8368
2021-05-04,15693
2021-05-05,14934
2021-05-06,621
2021-05-07,25878
2021-05-10,28012
2021-05-11,11910
2021-05-12,38690
2021-05-13,42923
2021-05-14,7455
2021-04-30,14143
2021-05-17,59285
2021-05-18,27403
2021-05-19,17804
2021-05-20,75521
2021-05-21,27904
2021-05-24,47904
2021-05-25,18835
2021-05-26,749
2021-05-27,18598
2021-05-28,52275
2021-04-30,14143
2021-06-01,8598
2021-06-02,905
2021-06-03,17858
2021-06-04,4273
2021-06-07,2037
2021-06-08,2634
2021-06-09,30313
2021-06-10,278
2021-06-11,48710
2021-06-14,105712
2021-06-16,3869
2021-06-17,8690
2021-06-18,462852
2021-06-21,13632
2021-06-22,25276
2021-06-23,89304
2021-06-24,1853
2021-06-25,26507
2021-06-28,134659
2021-06-29,346542
2021-06-30,6246
2021-07-01,313200
2021-07-02,11302
2021-07-06,4288
2021-07-07,2934
2021-07-09,466
2021-07-12,18240
2021-07-13,1852
2021-07-14,4599
2021-06-28,134659
2021-06-29,346542
2021-06-30,6246
2021-07-16,7971
2021-07-19,9986
2021-07-20,24781
2021-07-21,38351
2021-07-22,33070
2021-07-23,36436
2021-07-26,7907
2021-07-27,25789
2021-07-28,3252
2021-07-29,613
2021-07-30,229665
2021-06-30,6246
2021-08-03,3076
2021-08-04,98855
2021-08-05,1316894
2021-08-06,315331
2021-08-09,74406
2021-08-10,74871
2021-08-11,6624
2021-08-12,125
2021-08-13,1227
2021-07-29,613
2021-07-30,229665
2021-06-30,6246
2021-08-16,22314
2021-08-17,2020
2021-08-18,28465
2021-08-19,15291
2021-08-20,4821
2021-08-23,1723
2021-08-24,7278
2021-08-25,2363
2021-08-26,10983
2021-08-30,21332
2021-08-31,93073
2021-06-30,6246
